id,username,ip,country,isp,asn,risk_score,classification,threat_summary,recommendations,abuse_score,vt_detections,date,source
1,koyyada_rohith,192.168.1.105,Germany,"Amazon Web Services, Inc.",AS16509,0,Safe,"The investigated IP address (192.168.1.105) is classified as SAFE with an aggregate risk score of 0/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'Amazon Web Services, Inc.' (AS16509) located in Germany. Neither AbuseIPDB (1 reports) nor VirusTotal security engines (0/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:10:58.911920,manual
2,koyyada_rohith,10.0.0.47,China,Chinanet,AS4134,0,Safe,"The investigated IP address (10.0.0.47) is classified as SAFE with an aggregate risk score of 0/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'Chinanet' (AS4134) located in China. Neither AbuseIPDB (0 reports) nor VirusTotal security engines (0/89 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:11:36.636388,manual
3,koyyada_rohith,172.16.254.3,Russia,Liquid Web L.L.C.,AS32244,0,Safe,"The investigated IP address (172.16.254.3) is classified as SAFE with an aggregate risk score of 0/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'Liquid Web L.L.C.' (AS32244) located in Russia. Neither AbuseIPDB (0 reports) nor VirusTotal security engines (0/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:12:03.912178,manual
4,koyyada_rohith,45.142.212.100,Moldova,WorkTitans B.V.,AS209847,8,Safe,"The investigated IP address (45.142.212.100) is classified as SAFE with an aggregate risk score of 8/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'WorkTitans B.V.' (AS209847) located in Moldova. Neither AbuseIPDB (0 reports) nor VirusTotal security engines (0/89 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:14:22.388120,manual
5,koyyada_rohith,185.220.101.45,Germany,Stiftung Erneuerbare Freiheit,AS60729,63,Malicious,"CRITICAL THREAT DETECTED: The IP address 185.220.101.45 is classified as MALICIOUS with a severe risk score of 63/100. Infrastructure analysis associates this IP with 'Stiftung Erneuerbare Freiheit' (AS60729) operating in Germany. AbuseIPDB report database correlates an active abuse score of 100% with 116 security violations. Furthermore, VirusTotal reports severe warnings with 16/91 AV engines flags (exhibiting tor). This IP is confirmed to be part of a malicious network node involved in unauthorized access attempts, botnet operations, or malware propagation. Immediate isolation is advised.",Block IP Address; Apply Null Route (Null0); Quarantine & Inspect Hosts; Escalate to Incident Response,100,16,2026-06-05T10:14:44.919824,manual
6,koyyada_rohith,194.165.16.11,Lithuania,Flyservers S.A.,AS48721,63,Malicious,"CRITICAL THREAT DETECTED: The IP address 194.165.16.11 is classified as MALICIOUS with a severe risk score of 63/100. Infrastructure analysis associates this IP with 'Flyservers S.A.' (AS48721) operating in Lithuania. AbuseIPDB report database correlates an active abuse score of 100% with 223 security violations. Furthermore, VirusTotal reports severe warnings with 13/91 AV engines flags (exhibiting suspicious-udp). This IP is confirmed to be part of a malicious network node involved in unauthorized access attempts, botnet operations, or malware propagation. Immediate isolation is advised.",Block IP Address; Apply Null Route (Null0); Quarantine & Inspect Hosts; Escalate to Incident Response,100,13,2026-06-05T10:15:07.055090,manual
7,koyyada_rohith,194.165.16.11,Lithuania,Flyservers S.A.,AS48721,63,Malicious,"CRITICAL THREAT DETECTED: The IP address 194.165.16.11 is classified as MALICIOUS with a severe risk score of 63/100. Infrastructure analysis associates this IP with 'Flyservers S.A.' (AS48721) operating in Lithuania. AbuseIPDB report database correlates an active abuse score of 100% with 223 security violations. Furthermore, VirusTotal reports severe warnings with 13/91 AV engines flags (exhibiting suspicious-udp). This IP is confirmed to be part of a malicious network node involved in unauthorized access attempts, botnet operations, or malware propagation. Immediate isolation is advised.",Block IP Address; Apply Null Route (Null0); Quarantine & Inspect Hosts; Escalate to Incident Response,100,13,2026-06-05T10:15:15.907756,manual
8,koyyada_rohith,193.32.162.157,The Netherlands,Unmanaged LTD,AS47890,29,Suspicious,"The investigated IP address (193.32.162.157) is classified as SUSPICIOUS with an aggregate risk score of 29/100. It is registered under 'Unmanaged LTD' (AS47890) in The Netherlands and operates as a 'Data Center/Web Hosting/Transit'. AbuseIPDB reputation reports an abuse confidence score of 38% based on 34 reports over the last 90 days. VirusTotal detected suspicious activity across 6 threat intelligence feeds. Tags identified: crawler, hosting. The IP is likely used as a public VPN proxy, crawling agent, or shared hosting node, warranting proactive network monitoring.",Monitor Port Connections; Add to Active Watchlist; Review Internal Traffic,38,6,2026-06-05T10:15:46.065187,manual
9,koyyada_rohith,45.227.255.206,The Netherlands,NForce Entertainment B.V.,AS43350,8,Safe,"The investigated IP address (45.227.255.206) is classified as SAFE with an aggregate risk score of 8/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'NForce Entertainment B.V.' (AS43350) located in The Netherlands. Neither AbuseIPDB (1 reports) nor VirusTotal security engines (0/91 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:16:06.067866,manual
10,koyyada_rohith,91.92.109.116,Bulgaria,VPS.BG,AS34224,8,Safe,"The investigated IP address (91.92.109.116) is classified as SAFE with an aggregate risk score of 8/100. Reputation profiling indicates this IP belongs to a reputable infrastructure provider, 'VPS.BG' (AS34224) located in Bulgaria. Neither AbuseIPDB (0 reports) nor VirusTotal security engines (0/89 detections) indicate any active compromise or threat vectors. Communication with this IP is considered low risk.",Allow Communication; Standard Monitoring; No Policy Changes,0,0,2026-06-05T10:16:31.235985,manual
